CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001B,1,"PARKER, K T       ",0,2,5,3,1,1,3,3,0,0,0,0,2
AEROSPC, 002B,1,"PARKER, K T       ",4,2,4,2,0,0,1,0,0,1,0,0,1
AFRICAM, 004B,1,"NWOKEJI, G        ",0,10,23,10,7,1,2,0,1,1,0,0,1
AFRICAM, 005B,1,"ALLEN, R          ",7,5,7,4,9,6,5,7,3,0,0,0,2
AFRICAM, 011B,1,"MCHOMBO, S A      ",3,7,5,1,1,2,0,0,0,0,0,0,0
AFRICAM, 011B,2,"MCHOMBO, S A      ",1,5,7,4,1,1,1,0,0,0,0,0,0
AFRICAM, 039G,1,"RAIFORD, L        ",0,9,2,0,1,0,0,0,0,0,0,0,0
AFRICAM,107,1,"HENRY, C P        ",2,6,3,2,6,0,0,0,0,0,0,0,1
AFRICAM, 112B,1,"HINTZEN, P C      ",0,10,7,3,16,1,3,3,0,0,0,0,0
AFRICAM,117,1,"RAIFORD, L        ",0,2,3,6,2,7,3,2,1,0,1,0,2
AFRICAM,122,1,"FRYE, H T         ",6,6,15,13,5,1,0,0,0,0,0,0,0
AFRICAM,123,1,"SMALL, S A        ",0,7,1,6,5,0,0,1,0,0,0,0,0
AFRICAM,125,1,"VINCENT, F        ",1,17,3,3,10,1,0,1,0,0,0,0,2
AFRICAM,131,1,"LAGUERRE, M S     ",0,10,13,4,2,0,0,0,0,0,0,0,0
AFRICAM, 142AC,1,"COHEN, M M        ",0,44,33,9,2,1,0,0,0,0,0,0,0
AFRICAM, 150B,1,"SCOTT, D          ",1,10,8,9,2,2,1,0,3,0,1,0,0
AFRICAM, 156AC,1,"DE LEON, A        ",7,34,4,6,2,0,0,1,0,0,0,0,0
AFRICAM,159,1,"CATANESE, B N     ",0,6,13,1,2,0,0,0,0,0,0,0,0
AFRICAM,159,2,"PATTON, J E       ",0,3,4,4,12,1,3,1,0,0,0,0,1
AFRICAM,R001A,1,"NANDA, A          ",0,3,4,5,3,2,0,0,0,0,0,0,1
AFRICAM,R001B,1,"NANDA, A          ",1,2,2,4,3,1,0,3,0,0,0,0,1
AMERSTD, 010AC,1,"COHEN, M M        ",0,46,16,12,8,11,5,3,0,1,1,1,2
AMERSTD, 101AC,1,"HENKIN, D M       ",0,1,6,8,9,2,2,0,1,0,0,0,0
AMERSTD,102,1,"MORAN, K S        ",0,20,11,8,13,7,2,2,0,0,0,0,1
AMERSTD,102,2,"STEEN, S          ",0,2,7,1,1,2,4,0,2,0,0,0,1
AMERSTD,102,3,"PADILLA, G        ",0,6,1,2,1,0,0,0,0,0,0,0,1
AMERSTD,191,1,"BIESTMAN, K W     ",0,4,4,1,1,3,1,0,0,0,1,0,1
AMERSTD,191,2,"BIESTMAN, K W     ",0,2,3,0,2,4,0,0,1,0,0,0,3
AMERSTD,191,3,"PALMER, C         ",0,4,4,2,2,2,1,3,0,0,0,0,0
AMERSTD,C111E,1,"HUTSON, R E       ",0,0,1,4,3,2,0,1,2,0,0,0,1
AMERSTD,C112B,1,"GROTH, P E        ",0,6,4,9,6,1,2,1,1,0,1,0,1
AMERSTD,C172,1,"ROSEN, C A        ",0,4,4,5,8,5,5,4,4,0,1,0,0
AMERSTD,H110,1,"MCQUADE, D A      ",1,12,0,0,0,0,0,0,0,0,0,0,0
AMERSTD,H195,1,"PALMER, C         ",2,4,6,0,0,0,0,0,0,0,0,0,0
ANTHRO,1,1,"DEACON, T W       ",9,42,45,69,58,39,52,20,17,6,2,0,3
ANTHRO, 002AC,1,"LIGHTFOOT, K G    ",9,90,53,36,27,10,3,3,3,0,0,1,0
ANTHRO, 003AC,1,"ERICKSON, B R     ",3,50,62,38,27,9,3,6,1,0,0,0,4
ANTHRO,112,1,"MILLIGAN NEWMARK, ",0,13,13,15,6,6,5,3,7,1,2,0,0
ANTHRO,114,1,"COHEN, L          ",9,59,37,23,16,6,3,3,0,0,0,0,3
ANTHRO,119,1,"SCHEPER-HUGHES, N ",0,9,5,5,1,0,0,0,0,0,0,0,0
ANTHRO, 123B,1,"COHEN, D R        ",5,10,11,2,4,1,0,1,0,1,0,0,0
ANTHRO, 134B,1,"SHACKLEY, M S     ",6,9,0,0,0,0,0,0,0,0,0,0,0
ANTHRO, 136E,1,"ASHLEY, M         ",3,12,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,137,1,"NADER, L          ",7,13,21,25,33,30,21,9,13,5,0,1,2
ANTHRO, 138B,1,"BRAUN, N          ",0,5,2,2,2,0,1,0,0,0,0,0,0
ANTHRO,158,1,"ERICKSON, B R     ",8,12,4,1,3,0,0,0,0,0,0,0,0
ANTHRO,170,1,"LIU, X            ",5,15,9,3,4,4,3,4,2,0,1,1,1
ANTHRO,179,1,"HANKS, W F        ",7,32,20,7,6,1,2,1,0,0,0,0,0
ANTHRO,180,1,"BRANDES, S H      ",1,6,12,11,3,1,0,0,0,0,0,0,0
ANTHRO,196,1,"MILLIGAN NEWMARK, ",0,4,3,1,2,4,1,0,1,0,0,0,0
ANTHRO,C100,1,"BRUDVIK, K R      ",1,4,1,6,1,0,2,1,0,0,0,1,0
ANTHRO,C123F,1,"PORTER, B         ",0,3,7,2,2,0,0,1,0,0,0,0,1
ANTHRO,C129D,1,"KIRCH, P V        ",2,4,7,2,1,0,0,0,0,0,0,0,0
ANTHRO,C129F,1,"WILKIE, L A       ",42,21,0,0,0,0,1,0,0,0,0,0,1
ANTHRO,C136K,1,"TRINGHAM, R E     ",6,7,1,0,0,0,0,0,0,0,0,0,1
ANTHRO,R005B,1,"DUBUISSON, E      ",0,1,6,5,1,1,0,0,0,0,0,0,0
ANTHRO,R005B,2,"GOODWIN, M A      ",0,4,8,1,1,0,0,0,0,0,0,0,0
ANTHRO,R005B,3,"BELIAEV, A        ",1,3,5,1,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,4,"HUSMAN, D         ",0,3,5,3,3,1,0,0,0,0,0,0,0
ANTHRO,R005B,6,"GIRAUDO, R F      ",1,4,2,2,1,1,1,0,0,0,0,0,0
ANTHRO,R005B,7,"GOODWIN, M A      ",0,2,9,2,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,8,"CHRISTENSEN, K E  ",4,8,0,0,0,2,0,0,0,0,0,0,0
ANTHRO,R005B,9,"GOODWIN, M A      ",0,2,6,5,2,0,0,0,0,0,0,0,0
ARABIC, 001B,2,"SAYLOR, E         ",3,10,1,0,1,0,0,0,0,0,0,0,0
ARABIC, 001B,3,"ZILDZIC, A        ",7,5,1,0,0,0,0,0,0,0,0,0,0
ARABIC, 020B,1,"S'HIRI, S         ",1,8,8,1,0,0,0,0,0,0,0,0,0
ARABIC, 020B,2,"BAZIAN, H A       ",4,8,6,1,0,0,0,0,0,0,0,0,0
ARABIC, 100B,1,"BAZIAN, H A       ",5,7,5,1,0,0,0,0,0,0,0,0,0
