CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001B,1,"RICE, C L         ",9,6,6,1,0,1,0,0,0,0,0,0,0
AFRICAM, 004B,1,"NWOKEJI, G        ",3,13,8,17,11,6,2,4,1,1,1,2,1
AFRICAM, 005B,1,"ALLEN, R          ",9,8,8,7,9,6,2,1,3,0,1,1,0
AFRICAM, 039D,1,"STANLEY, C        ",1,3,3,5,0,3,0,0,0,0,0,0,0
AFRICAM, 039E,2,"PATTON, J E       ",2,3,7,5,2,1,2,0,0,0,0,0,1
AFRICAM, 112B,1,"HINTZEN, P C      ",0,7,20,13,5,2,1,2,1,0,0,1,1
AFRICAM,122,1,"FRYE, H T         ",2,5,11,7,15,5,0,1,0,0,0,0,0
AFRICAM,139,1,"LAGUERRE, M S     ",0,7,9,1,0,0,0,0,0,0,0,0,0
AFRICAM, 142AC,1,"COHEN, M M        ",0,15,16,14,13,3,2,1,0,0,1,0,2
AFRICAM,144,2,"RAIFORD, L        ",0,3,6,3,0,1,0,0,0,0,1,0,0
AFRICAM, 156AC,1,"DE LEON, A        ",4,29,10,5,1,0,0,0,0,0,0,0,0
AFRICAM,159,1,"SCOTT, D          ",1,10,2,1,1,0,0,0,0,0,0,0,0
AFRICAM,159,2,"SCOTT, D          ",1,5,8,5,2,4,0,0,0,0,0,0,0
AFRICAM, 190AC,1,"HENRY, C P        ",1,4,2,0,2,0,0,1,0,0,0,0,1
AFRICAM,R001A,1,"NANDA, A          ",1,5,5,7,5,2,1,0,0,0,0,0,0
AFRICAM,R001B,1,"NANDA, A          ",1,4,8,2,0,3,1,0,0,0,0,0,2
AMERSTD,10,1,"MORAN, K S        ",1,15,9,18,26,11,2,17,0,0,1,0,4
AMERSTD,101,2,"PALMER, C         ",1,3,4,4,3,5,3,5,0,1,1,0,2
AMERSTD,102,1,"HENKIN, D M       ",0,0,2,15,9,7,3,0,0,0,0,0,0
AMERSTD,102,2,"MORAN, K S        ",1,6,9,5,7,5,2,1,1,0,0,1,2
AMERSTD,191,1,"BIESTMAN, K W     ",0,3,3,0,4,5,0,0,3,0,0,0,1
AMERSTD,191,2,"BIESTMAN, K W     ",0,5,5,1,4,2,1,2,1,0,0,0,0
AMERSTD,191,3,"PALMER, C         ",0,2,3,5,3,2,1,1,0,0,0,0,1
AMERSTD,C111A,1,"SHANKEN, A        ",0,0,4,5,1,1,0,1,0,0,0,0,1
AMERSTD,C112B,1,"GROTH, P E        ",0,7,4,2,9,1,2,6,1,0,3,0,0
AMERSTD,C171,1,"MOZINGO, L A      ",0,2,2,1,2,1,2,0,0,0,0,0,1
AMERSTD,H195,1,"PALMER, C         ",3,14,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,1,1,"AGARWAL, S C      ",88,168,86,33,14,6,3,1,3,1,0,0,7
ANTHRO, 002AC,1,"PANICH, L M       ",4,58,60,30,28,24,5,7,0,2,3,0,7
ANTHRO,3,1,"BRANDES, S H      ",12,81,53,47,32,10,6,3,1,0,1,0,2
ANTHRO,112,1,"DEACON, T W       ",3,4,6,9,16,8,7,5,0,0,0,0,1
ANTHRO,114,1,"JOYCE, R          ",41,67,41,5,11,2,3,2,1,0,0,0,3
ANTHRO, 122E,1,"HASTORF, C        ",5,17,8,2,16,2,2,4,1,0,1,0,4
ANTHRO,134,1,"LIGHTFOOT, K G    ",2,8,5,1,0,0,0,0,0,0,0,0,0
ANTHRO, 136J,1,"TRINGHAM, R E     ",4,6,3,0,0,0,2,0,0,0,0,0,0
