CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AFRICAM, 004B,1,"HIMMELMAN, N      ",1,10,16,12,15,14,5,0,1,2,0,0,0
AFRICAM, 005A,1,"CATANESE, B N     ",3,11,8,7,13,9,5,4,1,1,1,1,2
AFRICAM,109,1,"ALLEN, R          ",0,19,2,2,1,0,0,0,0,0,0,0,0
AFRICAM, 112B,1,"HINTZEN, P C      ",0,9,9,10,14,0,0,3,1,0,0,0,2
AFRICAM,117,1,"TAYLOR, U Y       ",1,8,5,4,3,6,0,2,6,2,1,1,4
AFRICAM,122,1,"FRYE, H T         ",0,9,9,12,8,4,0,2,1,0,0,0,1
AFRICAM,144,2,"RAIFORD, L        ",0,3,9,13,3,2,1,0,1,0,1,0,0
AFRICAM, 156AC,1,"DE LEON, A        ",0,55,20,5,0,3,3,1,0,0,0,0,0
AFRICAM,159,1,"SCOTT, D          ",0,6,3,4,1,3,3,3,1,0,1,0,4
AFRICAM,159,2,"SCOTT, D          ",1,6,1,1,1,1,1,0,0,0,0,0,0
AFRICAM,159,4,"NANDA, A          ",1,2,2,4,2,0,0,0,0,0,0,0,0
AFRICAM,C011B,1,"MCHOMBO, S A      ",2,2,3,1,2,1,0,0,0,0,0,0,0
AFRICAM,C011B,2,"MCHOMBO, S A      ",1,2,4,0,1,1,2,0,0,0,0,0,0
AFRICAM,R001A,1,"NANDA, A          ",2,3,7,8,2,1,2,0,0,0,0,0,1
AFRICAM,R001B,1,"NANDA, A          ",2,6,7,10,10,1,2,1,0,0,0,0,1
AFRICAM,R001B,2,"GIULIANETTI, L M  ",0,4,8,3,4,0,1,1,0,0,0,0,1
AMERSTD,10,1,"MORAN, K S        ",0,17,27,23,16,17,5,5,0,0,0,0,3
AMERSTD, 010AC,1,"COHEN, M M        ",0,14,3,7,10,1,5,2,0,0,1,1,1
AMERSTD,101,1,"PALMER, C         ",0,1,9,13,8,7,9,6,4,0,0,0,2
AMERSTD,101,2,"SAUL, S A         ",0,5,3,4,3,0,1,1,1,0,0,0,0
AMERSTD,102,1,"STEEN, S          ",0,7,6,8,4,4,3,3,2,1,0,1,1
AMERSTD,102,2,"MORAN, K S        ",2,4,7,5,10,7,2,2,0,0,1,0,2
AMERSTD,191,1,"BIESTMAN, K W     ",0,4,3,2,1,3,2,0,3,0,0,0,1
AMERSTD,191,2,"PALMER, C         ",0,4,4,2,0,3,4,0,0,0,0,0,0
AMERSTD,191,3,"BIESTMAN, K W     ",0,4,2,2,4,4,2,0,1,0,1,0,1
AMERSTD,C112B,1,"GROTH, P E        ",0,2,2,1,7,2,1,5,3,0,1,0,2
AMERSTD,C171,1,"MOZINGO, L A      ",1,2,1,4,5,0,0,0,0,0,0,0,1
AMERSTD,C172,1,"ROSEN, C A        ",0,3,7,15,13,7,2,0,0,0,2,0,1
ANTHRO,1,1,"DEACON, T W       ",7,45,46,48,41,43,41,25,8,0,3,0,2
ANTHRO, 002AC,1,"WILKIE, L A       ",3,23,36,26,52,21,6,13,3,1,3,2,7
ANTHRO, 003AC,1,"SCHEPER-HUGHES, N ",0,44,65,42,32,17,14,3,3,0,1,0,6
ANTHRO,114,1,"LIU, X            ",6,31,34,28,15,11,7,9,0,1,1,1,5
ANTHRO, 124AC,1,"KIRCH, P V        ",6,19,16,4,12,6,2,1,0,0,1,0,0
ANTHRO, 129C,1,"HABU, J           ",0,10,13,4,7,0,0,0,0,0,0,0,0
ANTHRO, 134B,1,"SHACKLEY, M S     ",2,10,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,135,1,"HASTORF, C        ",0,5,2,1,2,1,0,1,0,0,0,0,1
ANTHRO, 138B,1,"BRAUN, N          ",0,2,5,5,3,0,0,0,0,0,0,0,0
ANTHRO,139,1,"NADER, L          ",2,52,59,28,29,6,5,3,0,0,0,0,4
ANTHRO, 156B,1,"RABINOW, P M      ",6,10,7,5,4,0,1,0,2,0,0,0,0
ANTHRO,158,1,"HIRSCHKIND, C K   ",2,10,7,9,4,3,2,0,0,0,0,0,0
ANTHRO,162,1,"YOUNG, K G        ",0,10,4,2,3,2,1,1,0,0,0,0,0
ANTHRO,166,2,"JACOBS, J E       ",0,17,14,6,5,1,0,1,1,0,3,0,2
ANTHRO, 174AC,1,"LIGHTFOOT, K G    ",2,40,35,11,12,4,2,3,0,0,0,0,1
ANTHRO,181,1,"MAHMOOD, S        ",1,7,12,11,8,3,0,0,1,0,1,0,1
ANTHRO,183,1,"HUBBARD, L        ",0,7,12,11,10,1,1,1,0,0,1,0,1
ANTHRO,189,2,"PANDOLFO, S       ",3,18,4,0,0,0,0,0,0,0,0,0,0
ANTHRO,189,3,"HOLSTON, J        ",2,17,2,0,1,0,0,0,0,0,0,0,1
ANTHRO,R005B,1,"SARGENT, A M      ",0,2,3,1,4,0,0,0,1,0,0,0,0
ANTHRO,R005B,3,"LEITE, N          ",0,5,6,1,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,4,"CHIO, J           ",0,2,3,3,2,2,1,0,0,0,0,0,0
ANTHRO,R005B,5,"EPPINGER, M       ",1,10,2,0,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,6,"HUANG, C Y        ",1,5,5,3,0,0,0,0,0,0,0,0,0
ANTHRO,R005B,7,"GOODWIN, M A      ",0,0,10,2,0,1,0,0,0,0,0,0,1
ARABIC, 001B,4,"SCHWARTZ, K L     ",2,4,4,1,2,0,0,0,0,0,0,0,0
