CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ART,13,1,"MCNAMARA, J S     ",3,16,3,0,0,0,0,0,0,0,0,0,0
ART,13,2,"NAGASAWA, C K     ",0,10,0,1,0,0,0,0,0,0,0,0,1
ART,14,1,"OPPENHEIMER, G    ",1,4,0,4,6,0,2,1,0,0,0,0,0
ART,14,2,"TOOL, E A         ",2,14,3,1,1,1,0,1,0,0,0,0,0
ART,102,1,"BERSAMINA, L R    ",0,14,8,5,2,0,0,0,0,0,0,0,0
ART,102,2,"CARNWATH, S       ",1,8,2,4,2,2,0,0,0,0,0,0,0
ART,117,1,"NAGASAWA, C K     ",0,14,1,0,0,0,0,0,0,0,0,0,0
ART,117,3,"VONMERTENS, A W   ",2,2,12,2,2,0,0,0,0,0,0,0,0
ART,118,1,"BERSAMINA, L R    ",0,10,8,5,0,0,0,1,0,0,0,0,0
ART,120,2,"HUSSONG, R M      ",2,9,5,0,1,0,0,0,0,0,0,0,0
ART,124,1,"HUSSONG, R M      ",2,11,1,6,0,0,0,0,0,0,0,0,0
ART,132,1,"SHAW, R B         ",0,19,0,4,2,0,0,1,0,0,0,0,1
ART,137,1,"SHAW, R B         ",2,15,0,2,1,0,0,0,0,0,0,0,0
ART,138,1,"REIMAN, B L       ",1,8,2,2,3,1,0,0,0,0,0,0,0
ART,142,1,"RADLEY, K P       ",12,6,0,0,0,0,0,0,0,0,0,0,0
ART,160,3,"PAGLEN, T         ",0,9,1,1,0,1,0,0,0,0,0,0,0
ART,165,1,"SHERWOOD, K D     ",0,17,7,0,0,1,0,0,0,0,0,0,0
ART,175,1,"NIEMEYER, G       ",1,4,4,1,3,0,0,3,0,0,0,0,0
ASAMST, 020A,1,"UEUNTEN, W I      ",9,31,24,12,13,7,3,1,0,0,0,0,2
ASAMST, 020B,1,"DONG, H C         ",0,32,2,0,1,0,0,0,0,0,0,0,0
ASAMST,121,1,"DONG, H C         ",0,14,3,0,1,0,0,0,0,0,0,0,0
ASAMST,125,1,"U, N              ",0,4,8,8,7,2,0,0,0,0,0,0,0
ASAMST,127,1,"SINGH, J K        ",0,11,3,2,0,0,0,0,0,0,0,0,0
ASAMST,171,1,"KIM, E H          ",10,41,6,0,4,0,1,0,0,0,0,0,0
ASAMST,175,1,"ARREGLO, C        ",0,6,8,2,0,0,0,0,0,0,0,0,0
ASAMST,176,1,"WONG, S C         ",2,6,16,7,4,1,1,0,0,0,0,0,0
ASAMST,180,1,"WONG, S C         ",0,3,8,14,4,2,0,0,0,0,0,0,0
ASAMST,R002A,1,"LEONG, A P        ",0,5,5,9,5,2,0,0,0,0,0,0,0
ASAMST,R002A,2,"LEBO-PLANAS, A C  ",2,10,13,6,1,0,1,0,0,0,0,0,0
ASAMST,R002B,1,"LEONG, A P        ",0,8,11,7,3,0,0,0,1,0,0,0,0
ASAMST,R002B,2,"SHEN, A F         ",0,2,8,3,10,4,3,0,0,0,0,0,0
ASIANST, 010B,1,"ZOOK, D C         ",4,16,25,33,17,10,8,2,2,0,0,2,2
ASIANST,150,1,"KIM, A            ",3,4,3,4,3,0,0,0,0,0,0,0,2
ASTRON, 007B,1,"BLOOM, J S        ",3,7,7,6,8,1,2,1,1,0,0,0,0
ASTRON,10,1,"DAVIS, M          ",0,6,11,12,6,10,6,1,1,0,1,0,3
ASTRON,121,1,"HEILES, C E       ",5,4,2,3,0,0,0,0,0,0,0,0,0
ASTRON,C012,1,"MARCY, G          ",0,21,13,6,8,4,3,0,0,0,0,0,1
ASTRON,C161,1,"MA, C             ",2,9,4,1,1,1,1,0,3,1,0,0,0
ASTRON,C162,1,"DE PATER, I       ",0,5,3,4,2,1,0,2,1,0,0,0,0
BIO ENG,100,1,"BUDINGER, T F     ",7,42,31,11,15,10,7,3,5,0,0,0,0
BIO ENG,104,1,"MOFRAD, M         ",6,20,4,0,1,0,0,0,0,0,0,0,0
BIO ENG,115,1,"LI, S             ",3,21,4,2,0,0,0,0,0,0,0,0,0
BIO ENG,116,1,"LI, S             ",3,13,12,15,8,3,3,0,0,0,0,0,0
BIO ENG, 121L,10,"DUECK, M E        ",0,8,1,0,1,1,0,0,0,0,0,0,0
BIO ENG,C105B,1,"CAREY, V P        ",0,5,3,11,2,1,1,0,0,0,0,0,0
BIO ENG,C141,1,"HUANG, H          ",0,4,10,7,0,0,0,0,0,0,0,0,0
BIO-CDB, 001A,1,"SCHLISSEL, M S    ",3,99,41,72,74,56,86,84,65,18,8,10,32
BIO-CDB, 001AL,1,"MEIGHAN, M R      ",6,113,80,44,67,73,61,61,49,6,7,10,19
BIO-IB, 001B,1,"FELDMAN, L J      ",12,50,33,139,113,105,47,81,26,23,16,0,16
BIO-PB,11,1,"HARMON, F         ",0,18,0,0,20,0,0,12,0,0,5,0,4
BIO-PB, 011L,1,"HARMON, F         ",0,7,0,0,4,0,0,2,0,0,0,0,0
CELTIC,128,1,"REJHON, A C       ",0,14,2,4,0,2,1,1,1,0,0,0,2
