CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001A,1,"RICE, C L         ",8,7,5,3,1,2,0,0,0,0,0,0,2
AEROSPC, 002A,1,"RICE, C L         ",7,6,7,0,1,1,0,0,0,0,0,0,0
AFRICAM, 004A,1,"NWOKEJI, G        ",1,9,11,14,14,2,4,3,6,1,0,0,0
AFRICAM, 005A,1,"CATANESE, B N     ",8,20,2,7,6,5,1,3,1,1,5,1,8
AFRICAM, 027AC,1,"HINTZEN, P C      ",4,10,6,12,29,18,7,8,5,2,0,0,2
AFRICAM, 028AC,1,"SMALL, S A        ",5,15,9,21,11,0,0,0,0,0,0,0,0
AFRICAM, 039B,1,"PATTON, J E       ",1,11,2,1,5,2,1,0,0,0,0,0,0
AFRICAM,100,1,"RAIFORD, L        ",0,6,4,2,6,2,2,2,0,0,1,0,2
AFRICAM,101,1,"FRYE, H T         ",0,4,2,5,6,0,1,1,1,0,0,0,0
AFRICAM, 112A,1,"HINTZEN, P C      ",0,6,3,3,5,6,1,2,0,3,1,0,3
AFRICAM,119,1,"COHEN, M M        ",0,10,2,1,8,0,0,0,0,0,0,0,0
AFRICAM,131,1,"LAGUERRE, M S     ",0,8,5,3,7,4,2,2,0,0,0,0,0
AFRICAM,139,1,"HENRY, C P        ",2,30,12,3,11,1,2,2,0,0,0,0,3
AFRICAM, 142A,1,"RAIFORD, L        ",0,16,6,6,6,3,1,1,2,1,1,1,1
AFRICAM, 150B,1,"SCOTT, D          ",2,9,13,6,5,1,0,0,1,0,0,0,1
AFRICAM,155,1,"NANDA, A          ",2,5,4,2,5,4,2,0,0,0,0,0,0
AFRICAM,159,2,"DE LEON, A        ",0,12,1,2,1,0,0,0,0,0,0,0,0
AFRICAM,159,3,"RAPHAEL-HERNANDEZ,",0,5,14,2,2,1,0,0,0,0,1,0,0
AFRICAM,C011A,1,"NJOROGE, J        ",0,2,2,1,3,3,0,0,0,0,0,0,0
AFRICAM,C133A,1,"SUAD-BAKARI, N    ",0,4,1,2,3,0,0,1,0,0,0,0,1
AFRICAM,C134,1,"LAGUERRE, M S     ",0,7,3,0,3,0,0,0,0,0,0,0,0
AFRICAM,R001A,1,"HENRY, C P        ",1,10,8,11,6,2,0,0,0,0,0,0,1
AFRICAM,R001B,1,"NANDA, A          ",0,5,3,5,5,2,3,1,1,0,0,0,0
AMERSTD,10,1,"BRILLIANT, M      ",0,1,6,7,25,3,8,9,1,3,0,2,7
AMERSTD,101,1,"PALMER, C         ",0,2,6,5,1,6,2,1,2,0,1,1,5
AMERSTD, 101AC,1,"COHEN, M M        ",0,18,18,17,27,14,0,2,1,0,0,0,3
AMERSTD,102,1,"BIESTMAN, K W     ",1,4,1,2,10,4,4,8,2,1,1,0,2
AMERSTD,110,1,"MORAN, K S        ",0,19,20,14,15,6,3,4,1,2,0,0,2
AMERSTD,191,1,"PALMER, C         ",0,0,5,0,1,2,2,1,0,0,0,0,1
AMERSTD,191,2,"BIESTMAN, K W     ",0,5,1,2,2,1,0,0,0,0,0,0,2
AMERSTD,C111E,1,"GONZALEZ, R M     ",0,1,4,3,6,0,0,0,0,0,0,0,1
AMERSTD,C111E,2,"MCQUADE, D A      ",0,2,9,3,6,3,1,0,1,0,0,0,0
AMERSTD,C112A,1,"GROTH, P E        ",2,4,3,5,8,2,3,8,0,0,2,0,2
AMERSTD,C134,1,"LAGUERRE, M S     ",0,8,5,2,0,0,0,0,0,0,0,0,0
ANTHRO, 002AC,1,"WILKIE, L A       ",1,44,42,69,66,11,14,14,6,2,3,0,9
ANTHRO, 003AC,1,"HIRSCHKIND, C K   ",1,87,107,103,66,19,13,2,4,0,0,0,2
ANTHRO,111,1,"DEACON, T W       ",0,19,27,18,14,27,6,8,5,0,0,0,2
ANTHRO,115,1,"SCHEPER-HUGHES, N ",6,16,41,20,4,0,0,1,1,0,0,0,4
ANTHRO, 122F,1,"LIGHTFOOT, K G    ",8,29,12,6,2,2,2,3,0,0,0,0,0
ANTHRO, 123A,1,"CONKEY, M W       ",1,15,12,9,3,1,0,0,0,0,0,0,3
