CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001A,1,"SHARP, K T        ",2,8,8,5,4,0,1,1,1,0,0,0,0
AEROSPC, 002A,1,"SHARP, K T        ",2,3,7,3,4,1,2,0,1,0,0,1,1
AFRICAM, 004A,1,"NWOKEJI, G        ",0,4,10,7,8,6,4,2,3,1,1,3,2
AFRICAM, 005A,1,"CATANESE, B N     ",1,10,13,10,16,5,7,1,2,0,0,1,2
AFRICAM, 011A,1,"MCHOMBO, S A      ",3,8,6,2,3,0,1,0,1,0,0,0,0
AFRICAM, 011A,2,"MCHOMBO, S A      ",6,6,3,2,5,0,0,3,0,0,0,0,0
AFRICAM, 027AC,1,"HINTZEN, P C      ",1,6,15,24,19,10,14,1,4,0,1,0,1
AFRICAM, 028AC,1,"SMALL, S A        ",2,14,7,22,9,5,0,2,1,0,0,0,0
AFRICAM, 039E,1,"PATTON, J E       ",0,4,5,4,3,2,0,1,0,0,0,0,1
AFRICAM, 039F,1,"STANLEY, C        ",0,3,3,1,4,2,0,0,0,0,0,0,1
AFRICAM,100,1,"RAIFORD, L        ",0,5,4,5,4,2,0,0,2,0,1,0,0
AFRICAM,101,1,"FRYE, H T         ",0,4,1,3,2,1,1,0,0,0,0,0,0
AFRICAM,111,1,"SMALL, S A        ",0,8,1,14,2,0,0,0,0,0,0,0,0
AFRICAM, 112A,1,"HINTZEN, P C      ",3,27,1,1,7,0,0,1,0,0,1,0,3
AFRICAM,116,1,"TAYLOR, U Y       ",1,4,6,7,9,3,5,3,0,2,0,0,3
AFRICAM,121,1,"HENRY, C P        ",2,3,3,2,1,2,2,2,2,0,1,0,2
AFRICAM,155,1,"NANDA, A          ",0,3,4,5,1,4,0,0,0,0,0,0,0
AFRICAM,159,1,"DE LEON, A        ",0,4,3,2,3,2,0,0,0,0,0,0,0
AFRICAM,C133A,1,"SUAD-BAKARI, N    ",0,11,1,0,2,0,0,1,0,0,0,0,0
