CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 002B,1,"HENSON, A S       ",3,1,3,4,0,0,1,0,0,0,0,0,0
AEROSPC,24,1,"HENSON, A S       ",4,3,1,1,0,0,0,0,0,0,0,0,3
AFRICAM, 004B,1,"TAYLOR, U Y       ",3,11,13,10,12,7,4,3,4,2,1,0,1
AFRICAM, 005B,1,"ALLEN, R          ",0,11,13,14,6,6,5,2,1,1,0,0,1
AFRICAM,100,1,"NOON, K M         ",0,0,9,4,4,8,0,2,0,0,0,0,0
AFRICAM,111,1,"FRYE, H T         ",1,5,9,5,6,2,2,2,0,0,1,0,0
AFRICAM, 112B,1,"HINTZEN, P C      ",0,2,20,6,7,2,1,1,1,0,0,0,0
AFRICAM,117,1,"TAYLOR, U Y       ",0,8,13,7,4,6,2,4,2,3,0,0,3
AFRICAM,119,1,"COHEN, M M        ",0,9,4,0,2,0,0,0,0,0,0,0,0
AFRICAM,122,1,"FRYE, H T         ",0,3,8,13,8,5,5,0,1,1,2,0,0
AFRICAM,131,1,"LAGUERRE, M S     ",0,7,6,5,7,2,3,1,0,1,0,0,0
AFRICAM, 156AC,1,"DE LEON, A        ",2,44,12,0,2,2,0,1,0,0,0,0,0
AFRICAM,159,1,"NANDA, A          ",0,3,6,0,1,0,1,0,0,0,0,0,1
AFRICAM,159,2,"HENRY, C P        ",0,14,9,12,14,5,0,0,2,0,1,0,0
AFRICAM,C132,1,"AGEE, J           ",4,9,0,1,4,0,0,1,0,0,0,0,0
AFRICAM,R001A,1,"FLASH, D M        ",0,0,4,3,10,5,1,0,0,0,0,0,0
AFRICAM,R001B,1,"NANDA, A          ",3,10,5,6,3,3,1,2,0,0,0,0,0
AFRICAM,R001B,2,"NANDA, A          ",2,9,4,4,9,3,1,0,0,0,0,0,1
AMERSTD,10,1,"SAUL, S A         ",1,6,11,13,16,9,7,3,9,3,1,0,2
AMERSTD, 101AC,2,"HENKIN, D M       ",0,6,12,10,6,6,1,0,0,0,0,0,1
AMERSTD,102,1,"BIESTMAN, K W     ",0,8,4,4,12,5,7,6,5,0,0,0,1
AMERSTD,102,2,"MORAN, K S        ",1,4,5,8,8,9,3,1,0,0,1,0,1
AMERSTD,110,1,"BRILLIANT, M      ",0,3,0,2,4,1,0,2,1,0,0,0,0
AMERSTD,191,1,"PALMER, C         ",0,0,2,5,0,3,2,0,1,0,0,0,0
AMERSTD,191,2,"PALMER, C         ",0,1,3,5,1,3,1,0,0,0,1,0,1
AMERSTD,191,3,"BIESTMAN, K W     ",0,4,1,5,3,2,1,3,0,0,0,0,1
AMERSTD,C111E,1,"HUTSON, R E       ",0,0,3,3,12,1,1,0,0,0,0,0,0
AMERSTD,C112B,1,"GROTH, P E        ",2,5,7,4,8,2,2,0,2,0,0,0,1
AMERSTD,C172,1,"ROSEN, C A        ",0,3,12,10,8,8,4,2,1,0,0,0,2
AMERSTD,H195,1,"PALMER, C         ",0,8,2,1,0,0,0,0,0,0,0,0,0
ANTHRO,1,1,"DEACON, T W       ",0,35,70,51,47,40,38,40,15,1,1,0,4
ANTHRO, 002AC,1,"TRINGHAM, R E     ",16,87,32,17,6,6,1,2,2,1,0,1,2
ANTHRO, 003AC,1,"HUBBARD, L        ",4,43,84,71,35,26,8,3,3,0,0,1,4
ANTHRO,114,1,"CONKEY, M W       ",29,65,15,19,7,1,3,5,0,0,0,0,1
ANTHRO,119,1,"SCHEPER-HUGHES, N ",1,2,5,4,0,0,0,0,0,0,0,0,0
ANTHRO, 122C,1,"BLAISDELL-SLOAN, K",5,13,19,1,1,1,2,2,1,0,0,0,5
ANTHRO, 122G,1,"SHACKLEY, M S     ",8,7,4,0,0,0,0,0,0,0,0,0,0
ANTHRO, 127A,1,"HOLLIMON, S E     ",1,5,3,2,1,1,0,1,0,0,0,0,0
ANTHRO, 128A,2,"WILKIE, L A       ",5,24,5,4,13,4,1,0,0,0,0,0,0
ANTHRO,134,1,"LIGHTFOOT, K G    ",3,9,7,2,0,0,0,0,0,0,0,0,0
ANTHRO, 135B,1,"HASTORF, C        ",1,6,1,1,6,1,3,4,0,0,1,0,0
ANTHRO, 136H,1,"UNDERWOOD, C F    ",6,5,0,1,2,0,0,2,0,0,0,0,0
ANTHRO,139,1,"NADER, L          ",3,34,51,38,26,11,5,4,4,1,1,0,11
ANTHRO,162,1,"YOUNG, K G        ",2,25,8,3,16,3,0,1,0,0,0,0,0
ANTHRO,170,1,"LIU, X            ",0,14,31,11,5,1,0,1,0,0,0,0,1
ANTHRO,184,1,"COHEN, L          ",7,8,10,8,2,5,0,0,0,0,0,0,1
ANTHRO,189,3,"HOLSTON, J        ",2,12,3,2,0,0,0,0,1,0,0,0,0
ANTHRO,189,4,"MIALET, H         ",1,11,2,1,0,0,0,0,0,0,0,0,0
ANTHRO,189,5,"KASNITZ, D        ",0,7,2,2,0,0,0,0,0,0,0,0,0
ANTHRO, 189A,1,"OCHOA, T          ",0,30,11,5,6,2,0,0,0,0,0,0,0
ANTHRO,C100,1,"WHITE, T D        ",0,2,1,3,5,1,2,3,1,0,1,0,1
ANTHRO,R005B,1,"THEISSEN, A J     ",0,5,3,3,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,2,"SKAFISH, P W      ",0,6,7,1,0,0,0,0,0,0,0,0,0
ANTHRO,R005B,3,"HUANG, C Y        ",0,3,6,4,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,4,"GOODWIN, M A      ",0,1,10,2,1,0,0,0,0,0,0,0,0
ANTHRO,R005B,5,"MERCADO, S        ",1,2,8,2,1,1,0,0,0,0,0,0,0
ARABIC, 001B,1,"EL-SHAER, A H     ",2,4,2,0,0,2,1,0,0,0,0,0,0
ARABIC, 001B,2,"VIVRETTE, J C     ",2,7,6,1,1,0,0,0,0,0,0,0,0
